file,hook,line,description
src/presenters/rel-next-presenter.php,,,
,wpseo_next_rel_link,40,"Filter: 'wpseo_next_rel_link' - Allow changing link rel output by Yoast SEO."
,wpseo_adjacent_rel_url,64,"Filter: 'wpseo_adjacent_rel_url' - Allow filtering of the rel next URL put out by Yoast SEO."
src/presenters/rel-prev-presenter.php,,,
,wpseo_prev_rel_link,40,"Filter: 'wpseo_prev_rel_link' - Allow changing link rel output by Yoast SEO."
,wpseo_adjacent_rel_url,63,"Filter: 'wpseo_adjacent_rel_url' - Allow filtering of the rel prev URL put out by Yoast SEO."
src/presenters/schema-presenter.php,,,
,wpseo_json_ld_output,27,"Filter: 'wpseo_json_ld_output' - Allows disabling Yoast's schema output entirely."
,wpseo_json_ld,35,"Action: 'wpseo_json_ld' - Output Schema before the main schema from Yoast SEO is output."
src/presenters/slack/enhanced-data-presenter.php,,,
,wpseo_enhanced_data,47,
src/presenters/title-presenter.php,,,
,wpseo_title,53,"Filter: 'wpseo_title' - Allow changing the Yoast SEO generated title."
src/presenters/twitter/card-presenter.php,,,
,wpseo_twitter_card_type,33,"Filter: 'wpseo_twitter_card_type' - Allow changing the Twitter card type."
src/presenters/twitter/description-presenter.php,,,
,wpseo_twitter_description,33,"Filter: 'wpseo_twitter_description' - Allow changing the Twitter description as output in the Twitter card by Yoast SEO."
src/presenters/twitter/image-presenter.php,,,
,wpseo_twitter_image,40,"Filter: 'wpseo_twitter_image' - Allow changing the Twitter Card image."
src/presenters/twitter/site-presenter.php,,,
,wpseo_twitter_site,33,"Filter: 'wpseo_twitter_site' - Allow changing the Twitter site account as output in the Twitter card by Yoast SEO."
src/presenters/twitter/title-presenter.php,,,
,wpseo_twitter_title,33,"Filter: 'wpseo_twitter_title' - Allow changing the Twitter title."
src/surfaces/meta-surface.php,,,
,date_rewrite_rules,342,
src/surfaces/values/meta.php,,,
,wpseo_frontend_presentation,132,"This filter is documented in src/integrations/front-end-integration.php"
,wpseo_frontend_presentation,158,"This filter is documented in src/integrations/front-end-integration.php"
wp-seo-main.php,,,
,wpseo_register_roles,197,"Only use minified assets when we are in a production environment."
,wpseo_register_capabilities,200,
,wpseo_activate,210,
,wpseo_register_roles,226,
,wpseo_register_capabilities,227,
,wpseo_deactivate,236,
